date,rain
2018-01-01,14.06065162
2018-02-01,43.20266365
2018-03-01,74.11354006
2018-04-01,97.75473098
2018-05-01,109.5352696
2018-06-01,109.3858132
2018-07-01,100.5602684
2018-08-01,87.83958356
2018-09-01,75.79623727
2018-10-01,67.58381068
2018-11-01,64.44553445
2018-12-01,65.88433615
